funcion_entrenamiento,n_neurons,avg_c,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,tiempo_entrenamiento
traincgf,41,0.0534722222222222,129.8,15.7,20.5,7.3,52.2,308.5,17.6,15.4,6633,2.6484375
traincgf,42,0.0536111111111111,127.8,19.6,18.6,6.6,50.9,310.5,17,13.7,6635.3,2.6953125
traincgf,43,0.0450555555555556,130.8,16.5,18.7,10.7,110.9,246.4,13.8,18.3,6633.9,3.853125
traincgf,44,0.0487083333333333,131.8,15.7,18.5,6,83.4,278.6,18.1,13.8,6634.1,3.3140625
traincgf,45,0.0505833333333333,127,16.4,22.6,4.7,69.3,294,15.3,11.2,6639.5,2.9921875
traincgf,46,0.044375,129.8,18.1,18.1,7.4,117,243.6,15.6,16.7,6633.7,3.8359375
traincgf,47,0.0479027777777778,132.5,15.1,18.4,6.8,89.4,271.8,16.3,16.5,6633.2,3.278125
traincgf,48,0.0493194444444445,130.9,17,18.1,7.4,80.9,279.7,16.7,16.2,6633.1,3.31875
traincgf,49,0.0511666666666667,125.2,17.9,22.9,5.4,67.9,294.7,12.9,14.6,6638.5,3.1859375
traincgf,50,0.0511805555555556,126.6,18.9,20.5,3.7,67.8,296.5,16,12.9,6637.1,3.25
traincgp,1,0.0703888888888889,26.3,17.2,122.5,3.4,10,354.6,3.8,5.3,6656.9,0.6046875
traincgp,2,0.0677083333333333,57.4,1.4,107.2,8.4,4.1,355.5,12.2,2.8,6651,0.6578125
traincgp,3,0.0591805555555556,117.4,15.9,32.7,15.7,19.8,332.5,16.1,13.2,6636.7,1.0125
traincgp,4,0.0601944444444445,94.8,9.4,61.8,11.1,27.4,329.5,12.6,9,6644.4,1.0203125
traincgp,5,0.0557638888888889,127.7,17.1,21.2,11.8,39.2,317,16.7,17.7,6631.6,1.271875
traincgp,6,0.0573194444444444,117.6,28.4,20,11.3,32.7,324,13.7,15.3,6637,1.1625
traincgp,7,0.0555972222222222,126.3,17.1,22.6,12.3,36.4,319.3,18.3,10.7,6637,1.425
traincgp,8,0.0559027777777778,132.4,14.1,19.5,11.3,24.7,332,17.1,8.5,6640.4,1.2125
traincgp,9,0.0550138888888889,131.2,11.5,23.3,12.6,34.4,321,19.4,8.3,6638.3,1.496875
traincgp,10,0.0564583333333333,129.9,15.8,20.3,8.2,28.4,331.4,19.8,11,6635.2,1.24375
traincgp,11,0.0572916666666667,130.4,14.6,21,11.6,26.9,329.5,20.4,15.4,6630.2,1.2296875
traincgp,12,0.0532916666666667,124.2,20.3,21.5,7.6,50.8,309.6,13,11.7,6641.3,1.6796875
traincgp,13,0.0550416666666667,125.4,18.9,21.7,6.8,40,321.2,15.3,12.4,6638.3,1.61875
traincgp,14,0.0522361111111111,127.8,15.1,23.1,7.6,54.8,305.6,16.2,8.5,6641.3,1.796875
traincgp,15,0.0553055555555556,124.3,21,20.7,6.4,39.4,322.2,15.6,12.3,6638.1,1.7484375
traincgp,16,0.0572916666666667,128.2,16.9,20.9,8,25.9,334.1,17.3,15.3,6633.4,1.30625
traincgp,17,0.0532083333333333,128.5,16.6,20.9,5.6,49.6,312.8,14.4,12.8,6638.8,1.7359375
traincgp,18,0.0537361111111111,130,16.8,19.2,6.9,44.5,316.6,17.1,10.3,6638.6,1.7984375
traincgp,19,0.0576527777777778,126.4,17.3,22.3,6.9,21.1,340,16.4,12.2,6637.4,1.4359375
traincgp,20,0.0499583333333333,130.5,16.6,18.9,6.5,71.7,289.8,16.5,11.4,6638.1,2.2578125
traincgp,21,0.0569166666666667,124.6,18.9,22.5,5.1,25.2,337.7,16.1,9.5,6640.4,1.484375
traincgp,22,0.0577083333333333,114.3,14.6,37.1,5.9,28.3,333.8,14.9,9.2,6641.9,1.4296875
traincgp,23,0.054375,125.4,18.4,22.2,6.5,45.8,315.7,17.5,11.2,6637.3,1.9359375
traincgp,24,0.055125,125.6,19.1,21.3,6.6,40.9,320.5,15.7,13.7,6636.6,1.7375
traincgp,25,0.0570972222222222,122.4,17.3,26.3,5.3,25.5,337.2,14.9,10.1,6641,1.6515625
traincgp,26,0.0570138888888889,121.1,12.2,32.7,7.7,28.4,331.9,16.1,9.9,6640,1.6921875
traincgp,27,0.0560833333333333,123.7,18.1,24.2,4.6,32.9,330.5,15.7,10.7,6639.6,1.690625
traincgp,28,0.0537638888888889,126.4,17.3,22.3,6.5,48,313.5,16.7,10.8,6638.5,2.0484375
traincgp,29,0.0566944444444445,126.2,17.6,22.2,5.5,27.4,335.1,15.9,11.9,6638.2,1.7796875
traincgp,30,0.0522916666666667,129.4,16.6,20,8.2,58.4,301.4,16.5,13.8,6635.7,2.4515625
traincgp,31,0.0572222222222222,123.2,14.4,28.4,4.8,24,339.2,16.2,9,6640.8,1.771875
traincgp,32,0.0513611111111111,126.2,19.1,20.7,5.4,64.2,298.4,15.7,10.5,6639.8,2.6859375
traincgp,33,0.0549166666666667,123.6,23.1,19.3,3.7,51.1,313.2,16.2,19.9,6629.9,2.278125
traincgp,34,0.0541111111111111,124.7,19.8,21.5,4.7,48.5,314.8,14.3,14.5,6637.2,2.41875
traincgp,35,0.0553194444444444,117.8,14.9,33.3,3.6,38.9,325.5,13.1,7.9,6645,2.2625
traincgp,36,0.0503611111111111,131.7,17.5,16.8,4.8,69.9,293.3,16.2,14,6635.8,3.3265625
traincgp,37,0.053625,128.8,19.8,17.4,5.9,53.6,308.5,15.7,18.8,6631.5,2.5984375
traincgp,38,0.0544305555555556,127,19,20,4.9,41.9,321.2,16.5,10.3,6639.2,2.4046875
traincgp,39,0.0553611111111111,124.6,19.6,21.8,5.7,40.5,321.8,15.6,14.1,6636.3,2.4015625
traincgp,40,0.0529027777777778,128.8,16.2,21,5.4,53.2,309.4,17.2,11.7,6637.1,2.7703125
traincgp,41,0.0529722222222222,128,18.9,19.1,4.1,51.7,312.2,16.4,10.7,6638.9,2.9265625
traincgp,42,0.0550277777777778,126.1,20.1,19.8,3.4,41.2,323.4,17.1,12.4,6636.5,2.4234375
traincgp,43,0.0508611111111111,125.4,17.1,23.5,3.9,64.8,299.3,13.7,8.7,6643.6,3.55625
traincgp,44,0.0519583333333333,127,18.7,20.3,4.7,61.3,302,16.9,11.5,6637.6,3.084375
traincgp,45,0.0548611111111111,124.2,14.9,26.9,4.4,41.2,322.4,15.6,10.8,6639.6,2.49375
traincgp,46,0.0579444444444444,119.4,22.7,23.9,4,26.3,337.7,13.8,15.1,6637.1,2.0578125
traincgp,47,0.0543611111111111,126.9,17.8,21.3,4.4,42.8,320.8,17.2,9.9,6638.9,2.928125
traincgp,48,0.0585972222222222,120.2,17.2,28.6,3.3,14.8,349.9,14.4,8.5,6643.1,1.7734375
traincgp,49,0.0525138888888889,123.9,20.6,21.5,3.9,59.2,304.9,14.8,12.4,6638.8,3.4125
traincgp,50,0.056875,125.2,19.9,20.9,4.3,26.6,337.1,16.3,11,6638.7,2.2484375
trainoss,1,0.0707777777777778,28.6,0.5,136.9,3.6,0.7,363.7,4.4,0.5,6661.1,0.6171875
trainoss,2,0.0675833333333333,51.3,5.7,109,4.2,6.1,357.7,5.7,4.3,6656,0.8484375
trainoss,3,0.0676388888888889,50.2,8.6,107.2,2.9,11.3,353.8,6.2,8.3,6651.5,0.7859375
trainoss,4,0.0573194444444444,117.5,16,32.5,10.3,28.7,329,13.2,11.7,6641.1,1.5828125
trainoss,5,0.0621944444444444,87.7,12.2,66.1,6.7,15.8,345.5,9.5,7.8,6648.7,1.1453125
trainoss,6,0.0571944444444444,115.8,16.4,33.8,8.2,30.1,329.7,15.8,7.9,6642.3,1.715625
trainoss,7,0.064,72.7,14.1,79.2,4.3,15.1,348.6,8.7,5.9,6651.4,1.3234375
trainoss,8,0.0577083333333333,113.8,16.1,36.1,6.9,28.3,332.8,13.6,10,6642.4,1.7078125
trainoss,9,0.0549722222222222,125.8,18.8,21.4,6.9,40.6,320.5,15.4,12.8,6637.8,1.9828125
trainoss,10,0.05925,111.6,13.9,40.5,6.4,16.6,345,15.2,5.6,6645.2,1.521875
trainoss,11,0.0547777777777778,126.4,17.5,22.1,4.7,38.1,325.2,14.3,10.6,6641.1,2.228125
trainoss,12,0.0570833333333333,124.5,20.4,21.1,5.6,27.4,335,16.2,12.7,6637.1,1.6140625
trainoss,13,0.0566388888888889,125.1,13.8,27.1,4.6,24.4,339,16.1,7.2,6642.7,1.8828125
trainoss,14,0.058875,111.4,14.3,40.3,5.4,21.7,340.9,15.1,7.9,6643,1.565625
trainoss,15,0.0567361111111111,114.1,17.5,34.4,4.1,36.6,327.3,13.7,11.5,6640.8,2.14375
trainoss,16,0.0557083333333333,125.4,15.5,25.1,5.3,29.2,333.5,14.2,7.5,6644.3,2.0609375
trainoss,17,0.0546805555555556,126.1,17.9,22,4.6,40,323.4,16.9,8.9,6640.2,2.5171875
trainoss,18,0.0540694444444444,126.4,19,20.6,5.5,44.2,318.3,16.1,9.8,6640.1,2.76875
trainoss,19,0.0571805555555556,117.2,15.9,32.9,2.7,27.9,337.4,14,8.8,6643.2,2.3265625
trainoss,20,0.0565416666666667,122,18.7,25.3,4,27.8,336.2,14.5,8.4,6643.1,2.21875
trainoss,21,0.0571527777777778,114.9,24.5,26.6,2.9,28.2,336.9,14.2,6.4,6645.4,2.1984375
trainoss,22,0.0533055555555556,127.2,18.8,20,4.7,47.1,316.2,16.3,7.8,6641.9,3.021875
trainoss,23,0.0565555555555555,123,14.9,28.1,3.8,23.6,340.6,14.4,5.4,6646.2,2.5234375
trainoss,24,0.0588611111111111,114.9,15.8,35.3,3.7,13.7,350.6,12.2,6.2,6647.6,1.95
trainoss,25,0.0575555555555556,116.2,20.6,29.2,3.8,23.9,340.3,14,6.5,6645.5,2.371875
trainoss,26,0.0562638888888889,123.1,18.3,24.6,3.9,28.9,335.2,14.7,8.4,6642.9,2.4640625
trainoss,27,0.0570138888888889,123.4,18.2,24.4,3.6,23.8,340.6,15.6,8.1,6642.3,2.5421875
trainoss,28,0.0577361111111111,120.2,14,31.8,3,17.7,347.3,14.7,4.9,6646.4,2.278125
trainoss,29,0.0566388888888889,121.4,18.6,26,3.2,26.7,338.1,14.9,7,6644.1,2.3640625
trainoss,30,0.0567916666666667,119.9,19.7,26.4,3.4,27,337.6,15.5,6.3,6644.2,2.6671875
trainoss,31,0.057,121.2,17.7,27.1,3,24.4,340.6,14.3,7.7,6644,2.865625
trainoss,32,0.056375,112.4,15.9,37.7,2.7,36.1,329.2,13.4,7,6645.6,2.9859375
trainoss,33,0.0573611111111111,124.7,17.3,24,3.8,19.8,344.4,16.6,6.9,6642.5,2.559375
trainoss,34,0.0572222222222222,120.7,17.9,27.4,2.7,23.8,341.5,14.8,7.7,6643.5,2.70625
trainoss,35,0.055375,122.6,17.7,25.7,2.7,33.5,331.8,13.2,7.6,6645.2,3.3984375
trainoss,36,0.05725,122.2,13.8,30,2.3,19.3,346.4,14.7,5,6646.3,2.778125
trainoss,37,0.0588611111111111,107.1,15.2,43.7,3,20,345,12.6,4.3,6649.1,2.6203125
trainoss,38,0.0560277777777778,121.7,18.4,25.9,2.9,30.8,334.3,14.1,7.8,6644.1,3.1953125
trainoss,39,0.0553194444444444,127.6,14.3,24.1,3.2,30.4,334.4,16.2,6.1,6643.7,3.4046875
trainoss,40,0.053125,127.6,13.6,24.8,3.3,46,318.7,14.9,7.2,6643.9,3.6359375
trainoss,41,0.0551805555555556,119.2,16,30.8,2,40.3,325.7,15.4,7.4,6643.2,3.709375
trainoss,42,0.0568611111111111,120.2,17.5,28.3,1.9,23.6,342.5,14.7,4.5,6646.8,3.08125
trainoss,43,0.0569305555555556,125,12.2,28.8,2.8,18.3,346.9,15.6,3.6,6646.8,3.1140625
trainoss,44,0.0559861111111111,122.1,18.3,25.6,3.2,35.3,329.5,17.3,9.2,6639.5,3.1671875
trainoss,45,0.0559027777777778,118.4,16.8,30.8,2.3,31,334.7,12.6,5.3,6648.1,3.8375
trainoss,46,0.0577083333333333,117.6,19.1,29.3,1.8,20.7,345.5,13.8,6,6646.2,3.23125
trainoss,47,0.0567083333333333,120.8,14.3,30.9,2.4,24.5,341.1,14.3,5.3,6646.4,3.2109375
trainoss,48,0.0572361111111111,115,13.9,37.1,2.9,26,339.1,13.9,5.2,6646.9,3.209375
trainoss,49,0.0562916666666667,123.9,15.6,26.5,2.6,24.8,340.6,13.5,6.5,6646,3.415625
trainoss,50,0.0570972222222222,119.3,12.5,34.2,1.8,20.8,345.4,13.4,3.8,6648.8,3.0265625
traingdx,1,0.0741666666666667,0,0,166,0,0,368,0,0,6666,0.7171875
traingdx,2,0.0735555555555556,4.4,0,161.6,0,0,368,0,0,6666,0.728125
traingdx,3,0.0708333333333333,25.9,2.8,137.3,0.4,0,367.6,1.9,0,6664.1,0.9140625
traingdx,4,0.0715277777777778,20,1.3,144.7,0.2,0,367.8,1,0,6665,0.7875
traingdx,5,0.0690138888888889,40.3,4.7,121,1,0.2,366.8,3,0.4,6662.6,1.0234375
traingdx,6,0.0699166666666667,32.7,5.4,127.9,0.4,0.1,367.5,1.7,0.5,6663.8,0.9125
traingdx,7,0.0699027777777778,33.8,7.5,124.7,0.5,0.4,367.1,2.3,1.2,6662.5,0.9734375
traingdx,8,0.069375,36.7,6.5,122.8,0.3,0.2,367.5,2.4,0,6663.6,0.975
traingdx,9,0.0674722222222222,51.3,6.8,107.9,0.9,0.7,366.4,3.2,0.6,6662.2,1.11875
traingdx,10,0.0672638888888889,53.3,17.7,95,0.7,1.6,365.7,3.3,1.9,6660.8,1.1875
traingdx,11,0.0671805555555555,54.2,10.7,101.1,0.7,1.9,365.4,4.8,1,6660.2,1.2046875
traingdx,12,0.0658055555555555,63.7,4.8,97.5,0.8,0.1,367.1,3.5,0.1,6662.4,1.0859375
traingdx,13,0.0699583333333333,34.4,12.7,118.9,0.5,0.5,367,1.7,2.9,6661.4,1.028125
traingdx,14,0.0665277777777778,59,10.1,96.9,0.8,0.6,366.6,3.8,0.8,6661.4,1.2265625
traingdx,15,0.0677361111111111,53.4,5,107.6,0.9,0.5,366.6,4.1,3.5,6658.4,1.1984375
traingdx,16,0.0647638888888889,71.8,5.4,88.8,0.9,1,366.1,3.7,1.4,6660.9,1.2265625
traingdx,17,0.06925,46.9,7.2,111.9,0.5,0.9,366.6,5.3,7.1,6653.6,1.1015625
traingdx,18,0.0681111111111111,46.5,9.7,109.8,0.6,0.3,367.1,2.7,0.5,6662.8,1.290625
traingdx,19,0.0651111111111111,69.3,4.4,92.3,0.8,0.7,366.5,4.5,0.3,6661.2,1.3234375
traingdx,20,0.0650555555555556,68.9,5.2,91.9,0.7,0.1,367.2,2.8,0.6,6662.6,1.225
traingdx,21,0.067,56.5,6,103.5,0.9,0.3,366.8,3.1,2.1,6660.8,1.215625
traingdx,22,0.0676111111111111,56.1,1.4,108.5,0.8,1,366.2,6.3,3.6,6656.1,1.1171875
traingdx,23,0.06625,60.9,8.3,96.8,1,0.3,366.7,3.3,0.9,6661.8,1.3734375
traingdx,24,0.066,63.1,5.1,97.8,0.7,1.3,366,3.1,2.5,6660.4,1.29375
traingdx,25,0.0679305555555556,53.8,14.1,98.1,0.7,1.3,366,3.1,7.1,6655.8,1.28125
traingdx,26,0.068875,51.9,10.9,103.2,1.2,0.5,366.3,8.5,5.8,6651.7,1.2125
traingdx,27,0.0681388888888889,55.3,8.8,101.9,1,1.5,365.5,4.7,8.7,6652.6,1.346875
traingdx,28,0.0645138888888889,76.5,4,85.5,1.1,0.6,366.3,4.9,2.7,6658.4,1.378125
traingdx,29,0.0679305555555556,65.2,5.5,95.3,0.7,0.6,366.7,9,11.9,6645.1,1.3953125
traingdx,30,0.066625,66,3.1,96.9,1.3,0.6,366.1,10.6,1.7,6653.7,1.3328125
traingdx,31,0.0690694444444445,52.9,10.8,102.3,0.6,1,366.4,5.3,11.9,6648.8,1.4703125
traingdx,32,0.0686111111111111,57.1,8,100.9,0.8,1.7,365.5,3.6,15.2,6647.2,1.446875
traingdx,33,0.0693194444444444,47.3,8.4,110.3,0.9,0.5,366.6,9,3.9,6653.1,1.265625
traingdx,34,0.0667916666666667,67.8,1.5,96.7,1.2,0.4,366.4,7.7,7.4,6650.9,1.334375
traingdx,35,0.0787777777777778,41.8,1.1,123.1,1.2,2.8,364,19.9,57.9,6588.2,1.1046875
traingdx,36,0.0677638888888889,60.2,2.1,103.7,1,0.6,366.4,9,5.7,6651.3,1.2234375
traingdx,37,0.0778333333333333,37.7,3.5,124.8,1.8,2.1,364.1,22.2,44,6599.8,1.0875
traingdx,38,0.0712222222222222,50.4,11.1,104.5,1.4,0.7,365.9,17,12.9,6636.1,1.2578125
traingdx,39,0.0786805555555556,27.6,5.9,132.5,1.4,2.9,363.7,20.8,42.2,6603,0.978125
traingdx,40,0.0643888888888889,74.5,4.9,86.6,0.7,1.9,365.4,4.9,1.1,6660,1.56875
traingdx,41,0.0724861111111111,43.9,9.3,112.8,1.4,0.7,365.9,18.3,14.2,6633.5,1.225
traingdx,42,0.0696944444444444,40.8,13.4,111.8,0.7,1.3,366,4.3,5.6,6656.1,1.4375
traingdx,43,0.0696944444444444,56.8,7.1,102.1,1,1.5,365.5,7.4,18.7,6639.9,1.54375
traingdx,44,0.0767916666666667,51.4,4.4,110.2,1,4.2,362.8,15.3,59.2,6591.5,1.365625
traingdx,45,0.0777361111111111,43.5,8.1,114.4,1.3,3.7,363,39,33.9,6593.1,1.271875
traingdx,46,0.0833888888888889,20.3,13.2,132.5,3,6.4,358.6,44.1,49,6572.9,0.9953125
traingdx,47,0.0784722222222222,31,5,130,0.8,2.3,364.9,21.7,42.6,6601.7,1.03125
traingdx,48,0.067,61.4,13.9,90.7,0.7,1.7,365.6,4.2,7.3,6654.5,1.6421875
traingdx,49,0.0738888888888889,51.6,6.3,108.1,1.6,1.3,365.1,24.8,26.1,6615.1,1.4390625
traingdx,50,0.0696805555555556,57.8,8.9,99.3,1.1,2,364.9,7.5,20,6638.5,1.6078125
